subdivision,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan_feb,mar_may,jun_sep,oct_dec
ANDAMAN & NICOBAR ISLANDS,1901,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,3373.2,136.3,560.3,1696.3,980.3
ANDAMAN & NICOBAR ISLANDS,1902,0.00,159.8,12.2,0.00,446.1,537.1,228.9,753.7,666.2,197.2,359,160.5,3520.7,159.8,458.3,2185.9,716.7
ANDAMAN & NICOBAR ISLANDS,1903,12.7,144,0.00,1,235.1,479.9,728.4,326.7,339,181.2,284.4,225,2957.4,156.7,236.1,1874,690.6
ANDAMAN & NICOBAR ISLANDS,1904,9.4,14.7,0.00,202.4,304.5,495.1,502,160.1,820.4,222.2,308.7,40.1,3079.6,24.1,506.9,1977.6,571
ANDAMAN & NICOBAR ISLANDS,1905,1.3,0.00,3.3,26.9,279.5,628.7,368.7,330.5,297,260.7,25.4,344.7,2566.7,1.3,309.7,1624.9,630.8
ANDAMAN & NICOBAR ISLANDS,1906,36.6,0.00,0.00,0.00,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,2534.4,36.6,556.1,1465.8,475.9
ANDAMAN & NICOBAR ISLANDS,1907,110.7,0.00,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,3347.9,110.7,751.2,1327.1,1158.9
ANDAMAN & NICOBAR ISLANDS,1908,20.9,85.1,0.00,29,562,693.6,481.4,699.9,428.8,170.7,208.1,196.9,3576.4,106,591,2303.7,575.7
ANDAMAN & NICOBAR ISLANDS,1910,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,2899.4,49.3,520.1,1701,629
ANDAMAN & NICOBAR ISLANDS,1911,0.00,8.4,0.00,122.5,327.3,649,253,187.1,464.5,333.8,94.5,247.1,2687.2,8.4,449.8,1553.6,675.4
